2024-11-21 13:22:57 - INFO - hello route accessed
2024-11-21 13:23:13 - INFO - hello route accessed
2024-11-21 13:28:09 - HTTP - HTTP request: GET /
2024-11-21 13:28:09 - INFO - hello route accessed
2024-11-21 13:28:54 - HTTP - HTTP request: GET /
2024-11-21 13:30:57 - HTTP - HTTP request: GET /
2024-11-21 13:33:26 - HTTP - HTTP request: GET /
2024-11-21 13:34:36 - HTTP - HTTP request: POST /auth/login
2024-11-21 13:41:10 - HTTP - HTTP request: POST /auth/login
2024-11-21 13:41:14 - HTTP - HTTP request: POST /auth/login
2024-11-21 13:41:40 - HTTP - HTTP request: POST /auth/login
2024-11-21 13:41:46 - HTTP - HTTP request: POST /auth/login
2024-11-21 13:44:05 - HTTP - HTTP request: POST /auth/login
2024-11-21 13:44:05 - HTTP - HTTP request: POST /404
2024-11-21 13:44:05 - ERROR - 404 Not Found: /404
2024-11-21 13:55:38 - HTTP - HTTP request: POST /auth/register
2024-11-21 13:55:38 - HTTP - HTTP request: POST /404
2024-11-21 13:55:38 - ERROR - 404 Not Found: /404
2024-11-21 13:56:28 - HTTP - HTTP request: POST /auth/register
2024-11-21 13:56:45 - HTTP - HTTP request: POST /api/auth/register
2024-11-21 13:56:45 - ERROR - 400 bad request; missing creds
2024-11-21 13:57:04 - HTTP - HTTP request: POST /api/auth/register
2024-11-21 14:09:25 - HTTP - HTTP request: POST /api/auth/register
2024-11-21 14:09:58 - HTTP - HTTP request: POST /api/auth/register
2024-11-21 14:16:36 - HTTP - HTTP request: POST /api/auth/login
2024-11-21 14:16:51 - HTTP - HTTP request: POST /api/auth/login
2024-11-21 14:16:55 - HTTP - HTTP request: POST /api/auth/login
2024-11-21 14:26:30 - HTTP - HTTP request: POST /api/auth/login
2024-11-21 14:26:34 - HTTP - HTTP request: POST /api/auth/login
2024-11-21 14:32:02 - HTTP - HTTP request: POST /game
2024-11-21 14:32:02 - HTTP - HTTP request: POST /404
2024-11-21 14:32:02 - ERROR - 404 Not Found: /404
2024-11-21 14:32:08 - HTTP - HTTP request: GET /game
2024-11-21 14:32:08 - HTTP - HTTP request: GET /404
2024-11-21 14:32:08 - ERROR - 404 Not Found: /404
2024-11-21 14:33:19 - HTTP - HTTP request: GET /game
2024-11-21 14:33:19 - HTTP - HTTP request: GET /404
2024-11-21 14:33:19 - ERROR - 404 Not Found: /404
2024-11-21 14:33:40 - HTTP - HTTP request: GET /game
2024-11-21 14:33:40 - HTTP - HTTP request: GET /404
2024-11-21 14:33:40 - ERROR - 404 Not Found: /404
2024-11-21 14:33:42 - HTTP - HTTP request: GET /game
2024-11-21 14:33:42 - HTTP - HTTP request: GET /404
2024-11-21 14:33:42 - ERROR - 404 Not Found: /404
2024-11-21 14:33:47 - HTTP - HTTP request: GET /game
2024-11-21 14:33:47 - HTTP - HTTP request: GET /404
2024-11-21 14:33:47 - ERROR - 404 Not Found: /404
2024-11-21 14:33:56 - HTTP - HTTP request: GET /game
2024-11-21 14:33:56 - HTTP - HTTP request: GET /404
2024-11-21 14:33:56 - ERROR - 404 Not Found: /404
2024-11-21 14:35:00 - HTTP - HTTP request: GET /game
2024-11-21 14:36:24 - HTTP - HTTP request: GET /game
2024-11-21 14:36:45 - HTTP - HTTP request: GET /game
2024-11-21 14:51:35 - HTTP - HTTP request: GET /api/auth/login
2024-11-21 14:51:54 - HTTP - HTTP request: POST /api/auth/login
2024-11-21 14:52:53 - HTTP - HTTP request: GET /game
2024-11-21 14:53:48 - HTTP - HTTP request: GET /game
2024-11-21 14:55:53 - HTTP - HTTP request: GET /game
